"model","term","estimate","std_error","p_value","conf_low_log","conf_high_log","odds_ratio","conf_low","conf_high","significance","estimate_ci"
"Model 1","(Intercept)",-5.05090035776286,0.0673791845742791,0,-5.18305439968768,-4.91874631583804,0.00640356535019799,0.00561084245950295,0.00730828739003462,"***","0.006 [0.006, 0.007]***"
"Model 1","time_5_c",-0.210114800251994,0.0211361349256078,1.11812715736746e-22,-0.251570120299807,-0.16865948020418,0.810491196035668,0.777578931630291,0.844796524352921,"***","0.810 [0.778, 0.845]***"
"Model 1","time_5_c_sq",0.0326037712756623,0.00409670930732669,3.13694259246748e-15,0.0245686978776247,0.0406388446736998,1.03314109795116,1.02487299528847,1.0414759030462,"***","1.033 [1.025, 1.041]***"
"Model 2","(Intercept)",-5.08005113886008,0.066145323857838,0,-5.20978525727123,-4.95031702044892,0.00621959094501868,0.00546284666829212,0.0070811636994842,"***","0.006 [0.005, 0.007]***"
"Model 2","time_5_c",-0.197428407801635,0.0233223369832509,5.41057307406628e-17,-0.243171669023138,-0.151685146580133,0.820838904185847,0.784136890202591,0.859258778720313,"***","0.821 [0.784, 0.859]***"
"Model 2","time_5_c_sq",0.0333197250846762,0.00483670589022141,7.86845694545002e-12,0.0238332529036565,0.0428061972656959,1.03388104410751,1.0241195346935,1.04373559643577,"***","1.034 [1.024, 1.044]***"
"Model 2","route_simplifiednon_owner_exit",1.15390203054602,0.211611182748111,5.67658371005847e-08,0.738858477372535,1.56894558371951,3.17054034927014,2.09354432173884,4.80158265672676,"***","3.171 [2.094, 4.802]***"
"Model 2","route_simplifiedrepeated_dogs_loop",-0.148219648245948,0.415417963364726,0.721288150107396,-0.962999591951588,0.666560295459693,0.862241704263021,0.381746084384299,1.94752686925262,"","0.862 [0.382, 1.948]"
"Model 3","(Intercept)",-5.95228747739522,0.0982774055670661,0,-6.14504416717044,-5.75953078762,0.00259988652953079,0.00214408119182243,0.00315259048594622,"***","0.003 [0.002, 0.003]***"
"Model 3","time_5_c",-0.137940252159889,0.0165533296213165,1.5966521989548e-16,-0.170407175804772,-0.105473328515007,0.87115073956601,0.843321366622733,0.899898474155356,"***","0.871 [0.843, 0.900]***"
