node_id,route,route_simplified,is_matrix,has_child_text_entry,is_main_open_text,is_short_text,has_text_entry,text_entry_type,options_count,is_long_choice,privacy_level,financial_sensitivity,topic_category,requires_precise_recall,cognitive_burden_score,sensitivity_score,manual_check_needed,manual_note,word_count_band,prompt_word_count,prompt_wc_10,option_word_count_visible,option_wc_10,total_visible_word_count,total_visible_wc_10
ConsentToSurvey,owner_main,owner_main,0,0,0,0,0,none,2,0,Low,0,Other,0,1,1,0,NA,Low,240,24,2,0.2,242,24.2
W0.1_DogInfoCorrect,owner_main,owner_main,0,1,0,0,1,optional_child_text,3,0,Low,0,Other,0,2,1,1,NA,Low,26,2.6,29,2.9,55,5.5
W0.2_LastDogLive,owner_main,owner_main,0,0,0,0,0,none,2,0,Low,0,Other,0,1,1,0,NA,Low,10,1,2,0.2,12,1.2
W0.21_LastDogGone,owner_main,owner_main,0,1,0,0,1,optional_child_text,10,1,Low,0,Other,0,3,1,1,NA,Low,34,3.4,86,8.6,120,12
W0.3_NewDogs,owner_main,owner_main,0,0,0,0,0,none,4,0,Low,0,Other,0,1,1,0,NA,Low,11,1.1,17,1.7,28,2.8
Q1_DogNumber,owner_main,owner_main,0,1,0,0,1,optional_child_text,6,0,Low,0,Dog_Profile,0,2,1,1,NA,Low,10,1,14,1.4,24,2.4
Q1.2_DogName,owner_main,owner_main,0,0,1,0,1,main_open_text,0,0,High,0,Dog_Profile,0,2,3,1,NA,Low,38,3.8,0,0,38,3.8
Q2DogAcquisitionDate,owner_main,owner_main,0,0,0,1,1,short_text_identifier,0,0,Low,0,Dog_Acquisition,1,2,1,1,NA,Low,18,1.8,0,0,18,1.8
Q3_FirstDog,owner_main,owner_main,0,0,0,0,0,none,3,0,Low,0,Dog_Acquisition,0,1,1,0,NA,Low,32,3.2,7,0.7,39,3.9
Q4_DogAge,owner_main,owner_main,0,0,0,0,0,none,30,0,Medium,0,Dog_Profile,1,2,2,1,NA,Medium,12,1.2,0,0,12,1.2
Q5_DogSexNeuter,owner_main,owner_main,0,0,0,0,0,none,4,0,Low,0,Dog_Profile,0,1,1,0,NA,Low,9,0.9,12,1.2,21,2.1
Q6_DogBreed,owner_main,owner_main,0,0,0,0,0,none,3,0,Low,0,Dog_Profile,0,1,1,0,NA,Low,8,0.8,28,2.8,36,3.6
Q6.1_DogBreed,owner_main,owner_main,0,0,0,0,0,none,298,0,Low,0,Dog_Profile,0,1,1,0,dropdown list,Low,24,2.4,0,0,24,2.4
Q6.2_DogBreed,owner_main,owner_main,0,0,0,0,0,none,298,0,Low,0,Dog_Profile,0,1,1,0,NA,Low,84,8.4,0,0,84,8.4
Q6.3_DogBreedText,owner_main,owner_main,0,1,0,0,1,optional_child_text,0,0,Low,0,Dog_Profile,0,2,1,0,NA,Low,21,2.1,0,0,21,2.1
Q7_DogCropDock,owner_main,owner_main,1,0,0,0,0,none,3,0,Low,0,Dog_Profile,0,3,1,0,NA,Low,9,0.9,4,0.4,13,1.3
Q8.1_DogBredFrom,owner_main,owner_main,0,1,0,0,1,optional_child_text,5,0,Low,0,Dog_Acquisition,0,2,1,1,NA,Low,16,1.6,41,4.1,57,5.7
Q8.2_DogBredFrom,owner_main,owner_main,0,0,0,0,0,none,3,0,Low,0,Dog_Acquisition,0,1,1,0,NA,Low,10,1,6,0.6,16,1.6
Q9_DogSource,owner_main,owner_main,0,1,0,0,1,optional_child_text,11,1,Low,0,Dog_Acquisition,0,3,1,1,NA,Medium,13,1.3,55,5.5,68,6.8
Q9.1_DogSeek,owner_main,owner_main,0,1,0,0,1,optional_child_text,9,1,Low,0,Dog_Acquisition,0,3,1,1,NA,Medium,19,1.9,46,4.6,65,6.5
Q9.2_DogRegionBorn,owner_main,owner_main,0,0,0,0,0,none,5,0,Low,0,Dog_Acquisition,0,1,1,0,NA,Low,5,0.5,14,1.4,19,1.9
Q9.2_DogEuropeBorn,owner_main,owner_main,0,0,0,0,0,none,48,0,Low,0,Dog_Acquisition,0,1,1,0,NA,Low,19,1.9,0,0,19,1.9
Q9.2_DogWorldBorn,owner_main,owner_main,0,0,0,0,0,none,148,0,Low,0,Dog_Acquisition,0,1,1,0,NA,Low,25,2.5,0,0,25,2.5
Q10_DogDaytime,owner_main,owner_main,0,1,0,0,1,optional_child_text,19,1,Low,0,Dog_Care_Routine,0,3,1,1,NA,High,25,2.5,180,18,205,20.5
Q10.1_DogWorkBarrier,owner_main,owner_main,0,1,0,0,1,optional_child_text,5,0,Low,0,Dog_Care_Routine,0,2,1,1,NA,Low,15,1.5,30,3,45,4.5
Q11.1_DogReward,owner_main,owner_main,0,1,0,0,1,optional_child_text,5,0,Low,0,Dog_Behavior,0,2,1,1,NA,Low,14,1.4,19,1.9,33,3.3
Q11.2_DogAversive,owner_main,owner_main,0,1,0,0,1,optional_child_text,9,1,Low,0,Dog_Behavior,0,3,1,1,NA,High,15,1.5,56,5.6,71,7.1
Q11.3_DogAversTool,owner_main,owner_main,0,1,0,0,1,optional_child_text,11,1,Low,0,Dog_Behavior,0,3,1,1,NA,High,27,2.7,48,4.8,75,7.5
Q12_SocialMedia,owner_main,owner_main,0,1,0,0,1,optional_child_text,11,1,Low,0,Other,0,3,1,1,NA,High,19,1.9,80,8,99,9.9
Q13_HolidayPast,owner_main,owner_main,0,0,0,0,0,none,4,0,Low,0,Dog_Holiday_Care,0,1,1,0,NA,Low,11,1.1,10,1,21,2.1
Q13.1_HolidayFuture,owner_main,owner_main,0,0,0,0,0,none,4,0,Low,0,Dog_Holiday_Care,0,1,1,0,NA,Low,13,1.3,10,1,23,2.3
Q13.2_HolidayAccommo,owner_main,owner_main,0,1,0,0,1,optional_child_text,5,0,Low,0,Dog_Holiday_Care,0,2,1,1,NA,Medium,16,1.6,15,1.5,31,3.1
Q14_Worries,owner_main,owner_main,1,0,0,0,0,none,5,0,Low,1,Financial_Cost,0,3,2,1,NA,High,18,1.8,105,10.5,123,12.3
Q15_CostPressure,owner_main,owner_main,0,0,0,0,0,none,4,0,Low,1,Financial_Cost,0,3,2,1,NA,High,47,4.7,19,1.9,66,6.6
Q16_CoLNewDog,owner_main,owner_main,0,0,0,0,0,none,5,0,Low,1,Financial_Cost,0,1,2,1,NA,Low,21,2.1,79,7.9,100,10
Q17_Services,owner_main,owner_main,0,0,0,0,0,none,17,1,Low,1,Financial_Cost,0,3,2,1,NA,High,26,2.6,93,9.3,119,11.9
Q17.1_ServicesCutCoL,owner_main,owner_main,0,0,0,0,0,none,19,1,Low,1,Financial_Cost,0,3,2,1,NA,High,23,2.3,117,11.7,140,14
Q18_WelfareIssues,owner_main,owner_main,0,0,1,0,1,main_open_text,0,0,Low,0,Dog_Welfare,0,2,1,1,NA,Low,12,1.2,0,0,12,1.2
Q19_DTInternational,owner_main,owner_main,0,0,0,0,0,none,2,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,12,1.2,2,0.2,14,1.4
Q20_DTFoster,owner_main,owner_main,0,0,0,0,0,none,2,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,12,1.2,2,0.2,14,1.4
Q21_GovRole,owner_main,owner_main,0,0,0,0,0,none,5,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,19,1.9,12,1.2,31,3.1
Q22_ImproveLife,owner_main,owner_main,0,0,1,0,1,main_open_text,0,0,Low,0,Dog_Welfare,0,2,1,1,NA,Low,14,1.4,0,0,14,1.4
Q23_Age,owner_main,owner_main,0,0,0,0,0,none,8,1,Medium,0,Owner_Demographics,0,3,2,1,NA,Medium,7,0.7,19,1.9,26,2.6
Q24_HouseholdAges,owner_main,owner_main,0,1,0,0,1,optional_child_text,6,0,Medium,0,Owner_Demographics,1,2,2,1,NA,Medium,21,2.1,28,2.8,49,4.9
Q25_Gender,owner_main,owner_main,0,1,0,0,1,optional_child_text,4,0,Medium,0,Owner_Demographics,0,2,2,1,NA,Medium,2,0.2,15,1.5,17,1.7
Q26_Ethnicity,owner_main,owner_main,0,1,0,0,1,optional_child_text,19,1,Medium,0,Owner_Demographics,0,3,2,1,NA,High,16,1.6,101,10.1,117,11.7
Q27_Housing,owner_main,owner_main,0,1,0,0,1,optional_child_text,6,0,Medium,0,Owner_Demographics,0,2,2,1,NA,Medium,6,0.6,14,1.4,20,2
Q28_HousingRefusal,owner_main,owner_main,0,1,0,0,1,optional_child_text,3,0,Medium,0,Owner_Demographics,0,2,2,1,NA,Medium,16,1.6,8,0.8,24,2.4
Q29_Postcode,owner_main,owner_main,0,0,0,1,1,short_text_identifier,0,0,High,0,Owner_Demographics,0,2,3,1,NA,Low,10,1,0,0,10,1
E1OwnerStatus,non_owner_exit,non_owner_exit,0,0,0,0,0,none,3,0,Low,0,Non_Owner_Exit,0,1,1,0,NA,Medium,12,1.2,27,2.7,39,3.9
E2FutureDogOwner,non_owner_exit,non_owner_exit,0,0,0,0,0,none,3,0,Low,0,Non_Owner_Exit,0,1,1,0,NA,Low,10,1,23,2.3,33,3.3
E2.1Situation,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,11,1,Low,1,Non_Owner_Exit,0,3,2,1,NA,Medium,19,1.9,108,10.8,127,12.7
E2.2NoDogReasons,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,15,1,Low,1,Non_Owner_Exit,0,3,2,1,NA,High,17,1.7,150,15,167,16.7
E3_FutureDogSource,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,16,1,Low,0,Dog_Acquisition,0,3,1,1,NA,High,22,2.2,80,8,102,10.2
E3.1_NotRescue,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,9,1,Low,0,Non_Owner_Exit,0,3,1,1,NA,High,27,2.7,75,7.5,102,10.2
E5_WelfareIssues,non_owner_exit,non_owner_exit,0,0,1,0,1,main_open_text,0,0,Low,0,Dog_Welfare,0,2,1,1,NA,Low,12,1.2,0,0,12,1.2
E6_DTInternational,non_owner_exit,non_owner_exit,0,0,0,0,0,none,2,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,12,1.2,2,0.2,14,1.4
E7_DTFoster,non_owner_exit,non_owner_exit,0,0,0,0,0,none,2,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,12,1.2,2,0.2,14,1.4
E8_GovRole,non_owner_exit,non_owner_exit,0,0,0,0,0,none,5,0,Low,0,Dog_Welfare,0,1,1,0,NA,Low,19,1.9,12,1.2,31,3.1
E8_Age,non_owner_exit,non_owner_exit,0,0,0,0,0,none,8,1,Medium,0,Owner_Demographics,0,3,2,1,NA,Medium,7,0.7,19,1.9,26,2.6
E9_HouseholdAges,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,6,0,Medium,0,Owner_Demographics,1,2,2,1,NA,Medium,21,2.1,28,2.8,49,4.9
E10_Gender,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,4,0,Medium,0,Owner_Demographics,0,2,2,1,NA,Medium,2,0.2,13,1.3,15,1.5
E11_Ethnicity,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,19,1,Medium,0,Owner_Demographics,0,3,2,1,NA,High,16,1.6,101,10.1,117,11.7
E12_Housing,non_owner_exit,non_owner_exit,0,1,0,0,1,optional_child_text,6,0,Medium,0,Owner_Demographics,0,2,2,1,NA,Medium,6,0.6,14,1.4,20,2
E13_Postcode,non_owner_exit,non_owner_exit,0,0,0,1,1,short_text_identifier,0,0,High,0,Owner_Demographics,0,2,3,1,NA,Low,10,1,0,0,10,1
Q201_SecondDog,second_dog,repeated_dogs_loop,0,0,0,0,0,none,2,0,Low,0,Other,0,1,1,0,NA,Low,25,2.5,2,0.2,27,2.7
